level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3508	2481	-1	
2	1	1	0	0	0	118	113	3261	2245	-1	
3	1	1	1	0	0	118	117	3261	2241	-1	
4	1	1	1	1	0	1138	126	365	40	-1	
5	1	1	1	1	1	1138	126	84	40	93.125214	Klant:
5	1	1	1	1	2	1305	130	58	23	93.282089	Rudi
5	1	1	1	1	3	1375	130	128	23	92.079308	Matterne
4	1	1	1	2	0	118	113	3248	199	-1	
5	1	1	1	2	1	118	118	256	119	78.724152	OMI
5	1	1	1	2	2	423	127	34	101	34.523933	N
5	1	1	1	2	3	499	127	33	101	82.561844	]
5	1	1	1	2	4	637	127	26	101	22.996216	E
5	1	1	1	2	5	709	127	34	101	43.663177	\
5	1	1	1	2	6	788	113	79	199	44.609413	5)
5	1	1	1	2	7	933	113	100	199	44.609413	st
5	1	1	1	2	8	1099	113	17	199	57.627686	|
5	1	1	1	2	9	1148	201	117	23	45.180687	mew
5	1	1	1	2	10	2765	147	601	111	21.291542	MOOQO7/199
4	1	1	1	3	0	1139	271	261	23	-1	
5	1	1	1	3	1	1139	271	70	23	1.708084	Sales
5	1	1	1	3	2	1220	277	39	17	1.708084	nr:
5	1	1	1	3	3	1304	271	96	23	54.618286	$04479
4	1	1	1	4	0	925	313	2448	80	-1	
5	1	1	1	4	1	925	342	111	23	92.260223	Schuren
5	1	1	1	4	2	1138	342	113	29	8.449570	Project:
5	1	1	1	4	3	1303	348	620	45	17.889107	(411_MO07199_Hoekdressing
5	1	1	1	4	4	1942	367	10	4	93.193985	-
5	1	1	1	4	5	1972	348	216	45	91.456413	opklapbed
5	1	1	1	4	6	2211	349	94	43	96.085648	(4-7)
5	1	1	1	4	7	3106	313	179	59	91.945824	Nesti
5	1	1	1	4	8	3292	327	81	61	95.954674	ng
4	1	1	1	5	0	159	506	9	26	-1	
5	1	1	1	5	1	159	506	9	26	24.835838	:
4	1	1	1	6	0	157	601	16	26	-1	
5	1	1	1	6	1	157	601	16	26	25.852043	2
4	1	1	1	7	0	158	695	14	26	-1	
5	1	1	1	7	1	158	695	14	26	26.034996	:
4	1	1	1	8	0	156	757	2205	92	-1	
5	1	1	1	8	1	156	790	18	26	0.000000	Se
4	1	1	1	9	0	158	852	2203	92	-1	
5	1	1	1	9	1	158	884	15	26	6.533318	5
4	1	1	1	10	0	157	1073	17	26	-1	
5	1	1	1	10	1	157	1073	17	26	42.588913	3
4	1	1	1	11	0	157	1167	16	26	-1	
5	1	1	1	11	1	157	1167	16	26	9.936226	.
4	1	1	1	12	0	157	1262	16	26	-1	
5	1	1	1	12	1	157	1262	16	26	35.578278	7
4	1	1	1	13	0	150	1451	27	26	-1	
5	1	1	1	13	1	150	1451	27	26	10.338470	:
4	1	1	1	14	0	150	1702	2211	92	-1	
5	1	1	1	14	1	150	1734	33	26	27.583588	«fe
5	1	1	1	14	2	628	1651	182	181	5.479538	|r
5	1	1	1	14	3	824	1651	243	181	0.000000	immone
5	1	1	1	14	4	1111	1651	227	181	1.299652	—[ae
5	1	1	1	14	5	1382	1651	182	181	34.300980	for
5	1	1	1	14	6	1609	1651	167	181	25.549652	fot
5	1	1	1	14	7	1835	1702	30	92	52.635010	|
5	1	1	1	14	8	1956	1702	27	92	45.720554	|
5	1	1	1	14	9	2076	1702	25	92	30.616928	|
5	1	1	1	14	10	2212	1702	149	92	31.886604	fm
4	1	1	1	15	0	150	1891	2211	92	-1	
5	1	1	1	15	1	150	1923	33	26	33.881348	ef
5	1	1	1	15	2	327	1840	181	181	30.935555	me
5	1	1	1	15	3	598	1840	107	181	17.651894	|
5	1	1	1	15	4	779	1840	242	181	0.000000	ersemee
5	1	1	1	15	5	1111	1840	242	181	41.454712	[ony
5	1	1	1	15	6	1397	1840	77	181	0.000000	|
5	1	1	1	15	7	1594	1840	302	181	40.025986	[oped
5	1	1	1	15	8	1971	1840	167	181	42.839943	[|
5	1	1	1	15	9	2212	1891	149	92	30.899681	Pe
4	1	1	1	16	0	150	1986	2211	91	-1	
5	1	1	1	16	1	150	2018	33	26	62.039150	of
5	1	1	1	16	2	462	1986	174	91	32.306396	|
5	1	1	1	16	3	764	1935	257	181	37.794529	renee
5	1	1	1	16	4	1111	1935	227	181	51.625137	[on
5	1	1	1	16	5	1397	1935	77	181	57.455292	|
5	1	1	1	16	6	1594	1986	11	91	32.669655	|
5	1	1	1	16	7	1744	1935	258	181	9.332390	Peeps]
5	1	1	1	16	8	2076	1986	25	91	57.206886	|
5	1	1	1	16	9	2227	1935	137	181	20.918495	Pee
4	1	1	1	17	0	150	2080	2211	92	-1	
5	1	1	1	17	1	150	2112	33	26	42.040096	ef
5	1	1	1	17	2	466	2080	170	92	42.040096	|
5	1	1	1	17	3	740	2029	291	183	44.213924	mimes
5	1	1	1	17	4	1122	2029	214	183	42.569229	fom
5	1	1	1	17	5	1396	2029	138	183	49.041039	[om
5	1	1	1	17	6	1594	2029	108	183	61.932961	[or
5	1	1	1	17	7	1747	2029	260	183	37.876324	peste)
5	1	1	1	17	8	2082	2029	276	183	14.108139	[ae
4	1	1	1	18	0	150	2175	2211	91	-1	
5	1	1	1	18	1	150	2207	32	26	56.853264	sf
5	1	1	1	18	2	371	2124	285	180	56.853264	«|
5	1	1	1	18	3	746	2124	285	180	0.000000	wns
5	1	1	1	18	4	1159	2124	367	180	38.392010	[|e
5	1	1	1	18	5	1601	2124	75	180	40.856331	fm
5	1	1	1	18	6	1766	2124	255	180	27.123901	eps)
5	1	1	1	18	7	2081	2124	280	180	37.495518	[Pe
4	1	1	1	19	0	123	2325	3256	33	-1	
5	1	1	1	19	1	123	2327	415	30	55.157707	0411_M007199_Hoekdressing
5	1	1	1	19	2	551	2339	6	3	92.811470	-
5	1	1	1	19	3	571	2327	147	30	91.539406	opklapbed
5	1	1	1	19	4	730	2327	64	29	96.722588	(4-7)
5	1	1	1	19	5	3191	2325	73	33	96.664070	Page
5	1	1	1	19	6	3277	2325	16	26	95.932655	2
5	1	1	1	19	7	3306	2325	32	26	96.740578	of
5	1	1	1	19	8	3350	2325	29	26	96.798882	21
