,Onderdeel,Materiaal,Lengte,Breedte,Dikte,L1,L2,B1,B2,ProductieM.,
,BC,HSP 19mm BxB,493,375,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,
2,BC,HSP 19mm BxB,965,337,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,
,BC,HSP 19mm BxB,340,374,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,
4,BC,HSP 19mm BxB,1428,374,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,
,BC,HSP 19mm BxB,966.5,337,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,
6,BC,HSP 19mm BxB,963.5,337,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,
,BC,HSP 19mm BxB,987,446,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
8,LL01,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
,LL01,HSP 19mm BxB,491,331,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
10,LL02,HSP 19mm BxB,491,331,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
,LL02,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
12,LL03,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
,LL03,HSP 19mm BxB,491,331,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
14,LL04,HSP 19mm BxB,466.667,237,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
,LL05,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
16,LL06,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
,LL07,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
18,LZ,HSP 19mm BxB,564,376,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,"Hoeken recht frezen, met de hand afsjangen"
,LZ,HSP 19mm BxB,564,376,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,
