,Onderdeel,Materiaal,Lengte,Breedte,Dikte,L1,L2,B1,B2,
,LZ,"FineerPlaat AFQMxB 19mm Int
bloom",503,469,19,"Fineer eik
1mm",,"Fineer eik
1mm","Fineer eik
1mm",
2,OC,"FineerPlaat AFQMxB 19mm Int
bloom",1000,469,19,,,,,
,RZ,"FineerPlaat AFQMxB 19mm Int
bloom",503,469,19,,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",
4,Bodem,MDF 13mm BxB,935.5,295,13,,,,,
,Bodem,MDF 13mm BxB,934,295,13,,,,,
6,Bodem,MDF 13mm BxB,935.5,295,13,,,,,
,Bodem,MDF 13mm BxB,932.5,295,13,,,,,
8,Bodem,MDF 13mm BxB,930,395,13,,,,,
,Bodem,MDF 13mm BxB,930,395,13,,,,,
10,Bodem,MDF 13mm BxB,932.5,295,13,,,,,
,Valse rug,MDF 13mm BxB,622,467.667,13,,,,,
12,L_greep,MDF 19mm AFQMxB,1001.5,97,19,"Fineer eik
1mm","Fineer eik
1mm",,,Afwerken_GR-Gannomat
,L_greep,MDF 19mm AFQMxB,1004.5,97,19,"Fineer eik
1mm","Fineer eik
1mm",,,
14,L_greep,MDF 19mm AFQMxB,1003,97,19,"Fineer eik
1mm","Fineer eik
1mm",,,Afwerken_GR-Gannomat
,L_greep,MDF 19mm AFQMxB,1004.5,100,19,"Fineer eik
1mm",,,,
16,L_greep,MDF 19mm AFQMxB,1001.5,100,19,"Fineer eik
1mm",,,,"1x 60mm breed, 1x 34mm breed"
,L_greep,MDF 19mm AFQMxB,1003,100,19,"Fineer eik
1mm",,,,
18,L-greep,MDF 19mm AFQMxB,1466,120,19,"Fineer eik
1mm",,,,"1x 70mm breed, 1x 34mm breed"
,Paslat_Dik,MDF 23mm AFQMxB,2770,100,23,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",
