Item_Number,Onderdeel,Lengte,Breedte,Dikte,Materiaal,Extra_Info
1,BC,493,375,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
2,BC,965,337,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
3,BC,340,374,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
4,BC,1428,374,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
5,BC,966.5,337,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
6,BC,963.5,337,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
7,BC,987,446,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
8,LL01,458.667,330,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
9,LL01,491,331,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
10,LL02,491,331,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
11,LL02,458.667,330,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
12,LL03,458.667,330,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
13,LL03,491,331,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
14,LL04,466.667,237,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
15,LL05,458.667,330,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
16,LL06,458.667,330,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
17,LL07,458.667,330,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
18,LZ,564,376,19HSP,"19mm BxB Hoeken recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
19,LZ,564,376,19HSP,"19mm BxB Hoeken recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Page 3 of 360411_MO07202-7203_TV-wand (7-7)
20,LZ,1745,375,19HSP,"19mm BxB Hoek recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
21,LZ,1978,374,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
22,LZ,564,376,19HSP,"19mm BxB Hoeken recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
23,LZ,2573,376,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
24,OC,1428,354,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
25,OC,493,355,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
26,OC,340,374,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
27,OC,965,355,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
28,OC,963.5,355,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
29,OC,966.5,355,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
30,RZ,564,376,19HSP,"19mm BxB Hoeken recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
31,RZ,1745,375,19HSP,"19mm BxB Hoek recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
32,RZ,564,376,19HSP,"19mm BxB Hoeken recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
33,RZ,564,376,19HSP,"19mm BxB Hoeken recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
34,RZ,2573,376,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
35,RZ,1978,374,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm | Fineer eik | 1mm
36,TZ_01,1694,339,19HSP,"19mm BxB Hoek recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm
37,TZ_02,1694,339,19HSP,"19mm BxB Hoek recht frezen, met de hand afsjangenStandaard",Fineer eik | 1mm
38,VL,963.5,375,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
39,VL,965,310,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
40,VL,966.5,340,19HSP,19mm BxB Standaard,Fineer eik | 1mm
41,VL01,460.667,339,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm | Page 4 of 360411_MO07202-7203_TV-wand (7-7)
42,VL01,493,331,19HSP,19mm BxB Standaard,Fineer eik | 1mm
43,VL01,340,337,19HSP,19mm BxB Standaard,Fineer eik | 1mm | Fineer eik | 1mm
