"line_number","content","is_numbered","has_section","has_aantal","has_edge_processing","has_controle","has_magazijn","has_te_bestellen"
1,"                                                                          MO07199",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,"                                                                                                          S04479",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,"                 S8                   Project:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,"                                                   0411_MO07199_Hoekdressing - opklapbed (4-7)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,"                                      Klant:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,"                                                Rudi Matterne",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,"info:                                 Tekenaar: JW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,"               Schuren                Afwerking:   Lakstraat",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,"                                         Enkel als aangevinkt.   Handwerk voor het schuren.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,"Totaal aantal onderdelen:",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
13,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,"                                                                 Kasten monteren! onderdelen sorteren per object",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,"                                                                 Vlakstraat: gekleurde sjang gebruiken.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,"                  Datum:                         kopie: terugbezorgen na schuren!",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,"                                      Opmerkingen:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,"Cel Holzer:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,"Naam:                       .../...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,"Accura:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,"Naam:                       .../...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,"Reichenbacher:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,"Naam:                       .../...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,"                                                                          Opus:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,"Kl Gannomat:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
