page_number,item_number,onderdeel,materiaal,lengte,breedte,dikte,l1,l2,b1,b2,pro_methode,opmerkingen,source_line,is_te_bestellen
2,1,BC,HSP 19mm BxB,493,375,19,"Fineer eik
1mm","Fineer eik
1mm",,,,," BC HSP 19mm BxB 493 375 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
2,8,LL01,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,,"8 LL01 HSP 19mm BxB 458.667 330 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
2,10,LL02,HSP 19mm BxB,491,331,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,,"10 LL02 HSP 19mm BxB 491 331 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
2,12,LL03,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,,"12 LL03 HSP 19mm BxB 458.667 330 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
2,14,LL04,HSP 19mm BxB,466.667,237,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,,"14 LL04 HSP 19mm BxB 466.667 237 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
2,15,LL05,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,," LL05 HSP 19mm BxB 458.667 330 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
2,16,LL06,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,,"16 LL06 HSP 19mm BxB 458.667 330 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
2,17,LL07,HSP 19mm BxB,458.667,330,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,," LL07 HSP 19mm BxB 458.667 330 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard ",False
2,18,LZ,HSP 19mm BxB,564,376,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",,,"18 LZ HSP 19mm BxB 564 376 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard Hoeken recht frezen, met de hand afsjangen",False
2,1,BC,HSP,1,19,493,,,,,Standaard,,1 BC HSP 19mm BxB 493 375 19 Fineer eikFineer eik Standaard,False
2,8,LL01,HSP,8,01,19,,,,,Standaard,,8 LL01 HSP 19mm BxB 458.667 330 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
2,10,LL02,HSP,10,02,19,,,,,Standaard,,10 LL02 HSP 19mm BxB 491 331 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
2,12,LL03,HSP,12,03,19,,,,,Standaard,,12 LL03 HSP 19mm BxB 458.667 330 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
2,14,LL04,HSP,14,04,19,,,,,Standaard,,14 LL04 HSP 19mm BxB 466.667 237 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
2,15,LL05,HSP,15,05,19,,,,,Standaard,,15 LL05 HSP 19mm BxB 458.667 330 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
2,16,LL06,HSP,16,06,19,,,,,Standaard,,16 LL06 HSP 19mm BxB 458.667 330 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
2,17,LL07,HSP,17,07,19,,,,,Standaard,,17 LL07 HSP 19mm BxB 458.667 330 19 Fineer eikFineer eikFineer eikFineer eik Standaard,False
2,18,LZ,HSP,18,19,564,,,,,Standaard,,"18 LZ HSP 19mm BxB 564 376 19 Fineer eikFineer eikFineer eikFineer eik Standaard Hoeken recht frezen, met de hand afsjangen",False
3,20,LZ,HSP 19mm BxB,1745,375,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"20 LZ HSP 19mm BxB 1745 375 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard Hoek recht frezen, met de hand afsjangen",False
3,24,OC,HSP 19mm BxB,1428,354,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,,"24 OC HSP 19mm BxB 1428 354 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
3,30,RZ,HSP 19mm BxB,564,376,19,"Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm","Fineer eik
1mm",Standaard,,"30 RZ HSP 19mm BxB 564 376 19 Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Fineer eik
1mm Standaard Hoeken recht frezen, met de hand afsjangen",False
3,36,TZ_01,HSP 19mm BxB,1694,339,19,,"Fineer eik
1mm",,,Standaard,,"36 TZ_01 HSP 19mm BxB 1694 339 19  Fineer eik
1mm   Standaard Hoek recht frezen, met de hand afsjangen",False
3,17,TZ_02,HSP 19mm BxB,1694,339,19,"Fineer eik
1mm",,,,Standaard,," TZ_02 HSP 19mm BxB 1694 339 19 Fineer eik
1mm    Standaard ",False
3,38,VL,HSP 19mm BxB,963.5,375,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,,"38 VL HSP 19mm BxB 963.5 375 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
3,21,VL01,HSP 19mm BxB,460.667,339,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,," VL01 HSP 19mm BxB 460.667 339 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
3,20,LZ,HSP,20,19,1745,,,,,Standaard,,"20 LZ HSP 19mm BxB 1745 375 19 Fineer eikFineer eikFineer eikFineer eik Standaard Hoek recht frezen, met de hand afsjangen",False
3,24,OC,HSP,24,19,1428,,,,,Standaard,,24 OC HSP 19mm BxB 1428 354 19 Fineer eikFineer eik Standaard,False
3,30,RZ,HSP,30,19,564,,,,,Standaard,,"30 RZ HSP 19mm BxB 564 376 19 Fineer eikFineer eikFineer eikFineer eik Standaard Hoeken recht frezen, met de hand afsjangen",False
3,36,TZ_01,HSP,36,01,19,,,,,Standaard,,"36 TZ_01 HSP 19mm BxB 1694 339 19 Fineer eik Standaard Hoek recht frezen, met de hand afsjangen",False
3,37,TZ_02,HSP,37,02,19,,,,,Standaard,,"37 TZ_02 HSP 19mm BxB 1694 339 19 Fineer eik Standaard Hoek recht frezen, met de hand afsjangen",False
3,38,VL,HSP,38,19,963.5,,,,,Standaard,,38 VL HSP 19mm BxB 963.5 375 19 Fineer eikFineer eik Standaard,False
3,41,VL01,HSP,41,01,19,,,,,Standaard,,41 VL01 HSP 19mm BxB 460.667 339 19 Fineer eikFineer eik Standaard,False
4,42,VL01,HSP 19mm BxB,493,331,19,"Fineer eik
1mm",,,,Standaard,,"42 VL01 HSP 19mm BxB 493 331 19 Fineer eik
1mm    Standaard ",False
4,44,VL02,HSP 19mm BxB,493,375,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,,"44 VL02 HSP 19mm BxB 493 375 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
4,5,VL03,HSP 19mm BxB,460.667,339,19,"Fineer eik
1mm","Fineer eik
1mm",,,Standaard,," VL03 HSP 19mm BxB 460.667 339 19 Fineer eik
1mm Fineer eik
1mm   Standaard ",False
