TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202019;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;3;74;000395-2021-01-04(151316-915038)-74-19
0000001512202062;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;6;77;000395-2021-01-04(151316-915038)-77-62
0000001512202033;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;3;74;000395-2021-01-04(151316-915038)-74-33
0000001512202076;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;6;77;000395-2021-01-04(151316-915038)-77-76
0000001512202020;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;3;74;000395-2021-01-04(151316-915038)-74-20
0000001512202021;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;3;74;000395-2021-01-04(151316-915038)-74-21
0000001512202063;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;77;000395-2021-01-04(151316-915038)-77-63
0000001512202064;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;77;000395-2021-01-04(151316-915038)-77-64
0000001512202022;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;74;000395-2021-01-04(151316-915038)-74-22
0000001512202065;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;6;77;000395-2021-01-04(151316-915038)-77-65
