TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202043;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;3;92;000395-2021-01-18(102039-9349559)-92-43
0000001512202057;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;3;92;000395-2021-01-18(102039-9349559)-92-57
0000015122020105;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;1;96;000395-2021-01-18(102039-9349559)-96-105
0000001512202045;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;3;92;000395-2021-01-18(102039-9349559)-92-45
0000001512202084;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;95;000395-2021-01-18(102039-9349559)-95-84
0000001512202085;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;6;95;000395-2021-01-18(102039-9349559)-95-85
0000015122020106;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;96;000395-2021-01-18(102039-9349559)-96-106
0000015122020107;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;96;000395-2021-01-18(102039-9349559)-96-107
0000001512202044;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;3;92;000395-2021-01-18(102039-9349559)-92-44
0000001512202021;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;86;000395-2021-01-18(102039-9349559)-86-21
0000001512202046;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;92;000395-2021-01-18(102039-9349559)-92-46
0000015122020108;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;1;96;000395-2021-01-18(102039-9349559)-96-108
0000001512202016;600;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;86;000395-2021-01-18(102039-9349559)-86-16
