TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202083;600;765;19;2;0;3;4;0;3;3;0;7;1;0;7;2;103;000395-2021-01-18(103724-10354360)-103-83
0000001512202017;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(103724-10354360)-99-17
0000001512202033;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(103724-10354360)-99-33
0000001512202034;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(103724-10354360)-99-34
0000001512202018;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(103724-10354360)-99-18
0000001512202029;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;4;99;000395-2021-01-18(103724-10354360)-99-29
0000001512202067;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;102;000395-2021-01-18(103724-10354360)-102-67
0000001512202068;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;102;000395-2021-01-18(103724-10354360)-102-68
0000001512202019;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;4;99;000395-2021-01-18(103724-10354360)-99-19
0000001512202084;600;253;19;2;0;3;4;0;3;3;0;7;1;0;7;2;103;000395-2021-01-18(103724-10354360)-103-84
