TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202083;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;1;108;000395-2021-01-19(093442-8543243)-108-83
0000015122020108;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;111;000395-2021-01-19(093442-8543243)-111-108
0000015122020119;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;111;000395-2021-01-19(093442-8543243)-111-119
0000015122020120;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;111;000395-2021-01-19(093442-8543243)-111-120
0000001512202069;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;1;108;000395-2021-01-19(093442-8543243)-108-69
0000001512202070;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;108;000395-2021-01-19(093442-8543243)-108-70
0000001512202071;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;108;000395-2021-01-19(093442-8543243)-108-71
0000015122020109;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;4;111;000395-2021-01-19(093442-8543243)-111-109
0000001512202072;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;1;108;000395-2021-01-19(093442-8543243)-108-72
0000015122020110;600;253;19;3;0;7;1;0;7;4;0;4;2;0;4;4;111;000395-2021-01-19(093442-8543243)-111-110
