TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202055;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(131645-17111504)-8-55
0000001512202069;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(131645-17111504)-8-69
0000015122020188;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;21;000395-2020-12-15(131645-17111504)-21-188
0000001512202056;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(131645-17111504)-8-56
0000001512202057;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(131645-17111504)-8-57
0000001512202096;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;4;15;000395-2020-12-15(131645-17111504)-15-96
0000001512202097;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;4;15;000395-2020-12-15(131645-17111504)-15-97
0000015122020189;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;4;21;000395-2020-12-15(131645-17111504)-21-189
0000015122020200;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;4;21;000395-2020-12-15(131645-17111504)-21-200
0000001512202058;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(131645-17111504)-8-58
0000015122020190;1203;253;19;3;0;7;1;0;7;4;0;4;2;0;4;4;21;000395-2020-12-15(131645-17111504)-21-190
