TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202019;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;1;24;000395-2020-12-15(140024-19730336)-24-19
0000001512202033;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;1;24;000395-2020-12-15(140024-19730336)-24-33
0000015122020154;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;33;000395-2020-12-15(140024-19730336)-33-154
0000015122020165;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;33;000395-2020-12-15(140024-19730336)-33-165
0000015122020166;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;33;000395-2020-12-15(140024-19730336)-33-166
0000001512202020;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;24;000395-2020-12-15(140024-19730336)-24-20
0000001512202021;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;1;24;000395-2020-12-15(140024-19730336)-24-21
0000015122020155;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;4;33;000395-2020-12-15(140024-19730336)-33-155
0000001512202022;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;1;24;000395-2020-12-15(140024-19730336)-24-22
0000015122020156;600;253;19;3;0;7;1;0;7;4;0;4;2;0;4;4;33;000395-2020-12-15(140024-19730336)-33-156
