TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202058;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;27;000395-2020-12-15(140219-19845442)-27-58
0000001512202069;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;27;000395-2020-12-15(140219-19845442)-27-69
0000001512202070;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;4;27;000395-2020-12-15(140219-19845442)-27-70
0000001512202090;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;6;29;000395-2020-12-15(140219-19845442)-29-90
0000015122020101;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;6;29;000395-2020-12-15(140219-19845442)-29-101
0000015122020102;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;6;29;000395-2020-12-15(140219-19845442)-29-102
0000015122020122;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;2;31;000395-2020-12-15(140219-19845442)-31-122
0000015122020133;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;2;31;000395-2020-12-15(140219-19845442)-31-133
0000015122020134;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;2;31;000395-2020-12-15(140219-19845442)-31-134
0000001512202059;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;4;27;000395-2020-12-15(140219-19845442)-27-59
0000001512202091;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;6;29;000395-2020-12-15(140219-19845442)-29-91
0000015122020123;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;2;31;000395-2020-12-15(140219-19845442)-31-123
0000001512202060;600;253;19;3;0;7;1;0;7;4;0;4;2;0;4;4;27;000395-2020-12-15(140219-19845442)-27-60
0000001512202092;600;253;19;3;0;7;1;0;7;4;0;4;2;0;4;6;29;000395-2020-12-15(140219-19845442)-29-92
0000015122020124;600;253;19;3;0;7;1;0;7;4;0;4;2;0;4;2;31;000395-2020-12-15(140219-19845442)-31-124
