TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000001512202041;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;2;37;000395-2020-12-15(141228-20454161)-37-41
0000001512202057;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;2;37;000395-2020-12-15(141228-20454161)-37-57
0000001512202058;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;2;37;000395-2020-12-15(141228-20454161)-37-58
0000001512202091;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;5;40;000395-2020-12-15(141228-20454161)-40-91
0000015122020107;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;5;40;000395-2020-12-15(141228-20454161)-40-107
0000015122020108;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;5;40;000395-2020-12-15(141228-20454161)-40-108
0000001512202053;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;2;37;000395-2020-12-15(141228-20454161)-37-53
0000001512202042;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;2;37;000395-2020-12-15(141228-20454161)-37-42
0000001512202092;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;5;40;000395-2020-12-15(141228-20454161)-40-92
0000015122020103;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;5;40;000395-2020-12-15(141228-20454161)-40-103
0000001512202043;1203;253;19;3;0;7;1;0;7;4;0;4;2;0;4;2;37;000395-2020-12-15(141228-20454161)-37-43
0000001512202021;1203;253;19;3;0;7;1;0;7;4;0;4;2;0;4;6;35;000395-2020-12-15(141228-20454161)-35-21
0000001512202093;1203;253;19;3;0;7;1;0;7;4;0;4;2;0;4;5;40;000395-2020-12-15(141228-20454161)-40-93
0000001512202016;600;253;19;3;0;7;1;0;7;4;0;4;2;0;4;6;35;000395-2020-12-15(141228-20454161)-35-16
