TeileID;Teilelaenge;Teilebreite;Teiledicke;Kante1;Kante1 Status;Kante1 Programm;Kante2;Kante2 Status;Kante2 Programm;Kante3;Kante3 Status;Kante3 Programm;Kante4;Kante4 Status;Kante4 Programm;Abstapelplatz;ObjectID;VlowID
0000015122020106;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;2;13;000395-2020-12-15(110034-8940412)-13-106
0000001512202055;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(110034-8940412)-8-55
0000001512202069;600;765;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(110034-8940412)-8-69
0000001512202094;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;2;13;000395-2020-12-15(110034-8940412)-13-94
0000015122020105;600;765;19;3;0;7;1;0;7;4;0;4;2;0;4;2;13;000395-2020-12-15(110034-8940412)-13-105
0000001512202095;600;509;19;3;0;7;1;0;7;4;0;4;2;0;4;2;13;000395-2020-12-15(110034-8940412)-13-95
0000001512202056;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(110034-8940412)-8-56
0000001512202057;600;509;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(110034-8940412)-8-57
0000001512202058;1203;253;19;4;0;3;2;0;3;3;0;7;1;0;7;3;8;000395-2020-12-15(110034-8940412)-8-58
0000001512202096;600;253;19;3;0;7;1;0;7;4;0;4;2;0;4;2;13;000395-2020-12-15(110034-8940412)-13-96
