Materiaal;Netto (m²);R%;Bruto m²;m² veiligheidsvoorraad;m² huidige stock;Bestellen m²
MDF 19mm AFQMxB;54.30;0.75;72.40;0.00;92.74;-20.34
MDF 31mm BxB;32.37;0.75;43.16;0.00;46.37;-3.21
HSP 19mm BxB;27.83;0.75;37.11;0.00;0.00;37.11
MDF 5mm BxB;27.38;0.75;36.51;0.00;26.05;10.46
HSP BxB 26mm;16.31;0.75;21.75;0.00;110.12;-88.38
MDF 13mm BxB;9.48;0.75;12.64;10.00;70.70;-48.06
MDF 31mm AFQMxAFQM;6.46;0.75;8.61;0.00;0.00;8.61
HSP 23mm BxB;4.41;0.75;5.88;0.00;69.55;-63.67
MDF 31mm AFQMxB;4.18;0.75;5.57;0.00;5.80;-0.22
MDF 19-18mm Uitval;1.23;0.75;1.64;0.00;0.00;1.64
Massief eik uitval 15;0.32;0.75;0.43;0.00;0.00;0.43
BRUT MDF 30MM;0.20;0.75;0.27;0.00;0.00;0.27
MULTI POP 15mm;0.14;0.75;0.19;0.00;15.25;-15.06
Dummy 19mm;0.01;0.75;0.01;0.00;0.00;0.01
""
TOTAAL;184.62;;246.16;;;-180.41
""
Aantal bestanden;14
